:START_ID,:TYPE,:END_ID,reference_uri,reference_supporting_text,reference_date,property_label,property_description:IGNORE,property_uri
HGNC:5270,RO:0002434,HGNC:1029,https://www.ncbi.nlm.nih.gov/pubmed/28298427,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:8638,RO:0002434,HGNC:20194,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:16889,RO:0002434,HGNC:2514,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:10062,RO:0002434,HGNC:18420,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:18420,RO:0002434,HGNC:25031,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:12468,RO:0002434,HGNC:8979,https://www.ncbi.nlm.nih.gov/pubmed/26839216,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:10353,RO:0002434,HGNC:10067,https://www.ncbi.nlm.nih.gov/pubmed/29180619,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MGI:96067,RO:HOM0000020,dictyBase:DDB_G0272344,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:2514,RO:0002200,HP:0001262,http://purl.obolibrary.org/obo/MONDO_0018907,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:4141,RO:0002434,HGNC:144,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:5241,RO:0002434,HGNC:115,https://www.ncbi.nlm.nih.gov/pubmed/27664236,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:0002434,HGNC:6838,https://www.ncbi.nlm.nih.gov/pubmed/20417604,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:12479,RO:0002434,HGNC:30892,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:3293,RO:0002434,HGNC:12036,https://www.ncbi.nlm.nih.gov/pubmed/17353931,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:3211,RO:0002434,HGNC:10067,https://www.ncbi.nlm.nih.gov/pubmed/29180619,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:12666,RO:0002200,HP:0002073,http://purl.obolibrary.org/obo/MONDO_0017161,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:12509,RO:0002434,HGNC:10067,https://www.ncbi.nlm.nih.gov/pubmed/32296183,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:24500,RO:0002434,HGNC:5233,https://www.ncbi.nlm.nih.gov/pubmed/29507755,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:3594,RO:0002434,HGNC:20738,https://www.ncbi.nlm.nih.gov/pubmed/32694731,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:26027,RO:0002206,UBERON:0001890,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:11998,RO:0002434,HGNC:5270,"https://www.ncbi.nlm.nih.gov/pubmed/24361594,11707401,32097779",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MONDO:0007739,RO:0002200,HP:0002169,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:10899,RO:0002434,HGNC:15476,https://www.ncbi.nlm.nih.gov/pubmed/27705803,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
