id:ID,:LABEL,preflabel,synonyms:IGNORE,name,description
HGNC:5270,GENE,DNAJB1,HSPF1|Hdj1|Hsp40|RSPH16B|Sis1,DnaJ heat shock protein family (Hsp40) member B1,"This gene encodes a member of the DnaJ or Hsp40 (heat shock protein 40 kD) family of proteins. DNAJ family members are characterized by a highly conserved amino acid stretch called the 'J-domain' and function as one of the two major classes of molecular chaperones involved in a wide range of cellular events, such as protein folding and oligomeric protein complex assembly. The encoded protein is a molecular chaperone that stimulates the ATPase activity of Hsp70 heat-shock proteins in order to promote protein folding and prevent misfolded protein aggregation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]."
HGNC:1029,GENE,BDKRB1,B1BKR|B1R|BKB1R|BKR1|BRADYB1,bradykinin receptor B1,"Bradykinin, a 9 aa peptide, is generated in pathophysiologic conditions such as inflammation, trauma, burns, shock, and allergy. The protein encoded by this gene belongs to the G-protein coupled receptor 1 family. Two types of G-protein coupled receptors have been found which bind bradykinin and mediate responses to these pathophysiologic conditions. The protein encoded by this gene is one of these receptors and is synthesized de novo following tissue injury. Receptor binding leads to an increase in the cytosolic calcium ion concentration, ultimately resulting in chronic and acute inflammatory responses. [provided by RefSeq, Aug 2020]."
HGNC:8638,GENE,KAT2B,CAF|P/CAF|PCAF,lysine acetyltransferase 2B,"CBP and p300 are large nuclear proteins that bind to many sequence-specific factors involved in cell growth and/or differentiation, including c-jun and the adenoviral oncoprotein E1A. The protein encoded by this gene associates with p300/CBP. It has in vitro and in vivo binding activity with CBP and p300, and competes with E1A for binding sites in p300/CBP. It has histone acetyl transferase activity with core histones and nucleosome core particles, indicating that this protein plays a direct role in transcriptional regulation. [provided by RefSeq, Jul 2008]."
HGNC:20194,GENE,POLR1C,AC40|HLD11|RPA39|RPA40|RPA5|RPAC1|RPC40|TCS3,RNA polymerase I and III subunit C,"The protein encoded by this gene is a subunit of both RNA polymerase I and RNA polymerase III complexes. The encoded protein is part of the Pol core element. Mutations in this gene have been associated with Treacher Collins syndrome (TCS) and hypomyelinating leukodystrophy 11. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]."
HGNC:16889,GENE,PSMD14,PAD1|POH1|RPN11,"proteasome 26S subunit, non-ATPase 14","This gene encodes a component of the 26S proteasome. The 26S proteasome is a large multiprotein complex that catalyzes the degradation of ubiquitinated intracellular proteins. The encoded protein is a component of the 19S regulatory cap complex of the 26S proteasome and mediates substrate deubiquitination. A pseudogene of this gene is also located on the long arm of chromosome 2. [provided by RefSeq, Feb 2012]."
HGNC:2514,GENE,CTNNB1,CTNNB|EVR7|MRD19|NEDSDV|armadillo,catenin beta 1,"The protein encoded by this gene is part of a complex of proteins that constitute adherens junctions (AJs). AJs are necessary for the creation and maintenance of epithelial cell layers by regulating cell growth and adhesion between cells. The encoded protein also anchors the actin cytoskeleton and may be responsible for transmitting the contact inhibition signal that causes cells to stop dividing once the epithelial sheet is complete. Finally, this protein binds to the product of the APC gene, which is mutated in adenomatous polyposis of the colon. Mutations in this gene are a cause of colorectal cancer (CRC), pilomatrixoma (PTR), medulloblastoma (MDB), and ovarian cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2016]."
HGNC:10062,GENE,RNF20,BRE1|BRE1A|hBRE1,ring finger protein 20,"The protein encoded by this gene shares similarity with BRE1 of S. cerevisiae. The protein encoded by this human gene is an E3 ubiquitin ligase that regulates chromosome structure by monoubiquitinating histone H2B. This protein acts as a putative tumor suppressor and positively regulates the p53 tumor suppressor as well as numerous histone H2A and H2B genes. In contrast, this protein also suppresses the expression of several protooncogenes and growth-related genes, including many genes that are induced by epidermal growth factor. This gene selectively suppresses the expression of some genes by interfering with chromatin recruitment of transcription elongation factor SII (TFIIS). [provided by RefSeq, Feb 2012]."
HGNC:18420,GENE,SETD2,HBP231|HIF-1|HIP-1|HSPC069|HYPB|KMT3A|LLS|SET2|p231HBP,"SET domain containing 2, histone lysine methyltransferase","Huntington's disease (HD), a neurodegenerative disorder characterized by loss of striatal neurons, is caused by an expansion of a polyglutamine tract in the HD protein huntingtin. This gene encodes a protein belonging to a class of huntingtin interacting proteins characterized by WW motifs. This protein is a histone methyltransferase that is specific for lysine-36 of histone H3, and methylation of this residue is associated with active chromatin. This protein also contains a novel transcriptional activation domain and has been found associated with hyperphosphorylated RNA polymerase II. [provided by RefSeq, Aug 2008]."
HGNC:25031,GENE,PRPF40B,HYPC,pre-mRNA processing factor 40 homolog B,"This gene encodes a WW-domain containing protein similar to yeast splicing factor PRP40. This protein has been shown to interact with Huntingtin and methyl CpG binding protein 2 (MeCP2). Alternative splicing results in different transcript variants. [provided by RefSeq, Aug 2014]."
HGNC:12468,GENE,UBC,HMG20,ubiquitin C,"This gene represents a ubiquitin gene, ubiquitin C. The encoded protein is a polyubiquitin precursor. Conjugation of ubiquitin monomers or polymers can lead to various effects within a cell, depending on the residues to which ubiquitin is conjugated. Ubiquitination has been associated with protein degradation, DNA repair, cell cycle regulation, kinase modification, endocytosis, and regulation of other cell signaling pathways. [provided by RefSeq, Aug 2010]."
